"","year_start","month_start","year_end","month_end","permno","n_obs","R2_long","R2_short","tau_pi_R"
"211",1984,12,2003,12,10225,20,0.0128584767379872,0.000267258956897842,0.0125945837964173
"212",1985,12,2004,12,10225,20,0.0125870122011916,0.000408332825628794,0.0121836543615747
"213",1986,12,2005,12,10225,20,0.0174199866313699,0.000466955959611388,0.0169609506887633
"214",1987,12,2006,12,10225,20,0.0127882949459495,0.000245382830586848,0.0125459906860697
"215",1988,12,2007,12,10225,20,0.00284411222066917,0.000465706645388784,0.00237951373063753
"216",1989,12,2008,12,10225,20,0.102144751689776,0.0283816609478767,0.0759177629498641
"217",1990,12,2009,12,10225,20,0.1224253429627,0.000143628925689894,0.122299279751173
"218",1991,12,2010,12,10225,20,0.0908821161243517,0.0000324283879308886,0.0908526339408788
"219",1992,12,2011,12,10225,20,0.0951905236088736,0.000681156715604679,0.0945737864630384
"220",1993,12,2012,12,10225,20,0.0845295266307026,0.000163381313277164,0.0843799314214354
"221",1960,12,1979,12,10233,20,0.244668555109787,0.00526597200796293,0.240669944291622
"222",1961,12,1980,12,10233,20,0.291024350598714,0.00358009640434048,0.288477029771393
"223",1962,12,1981,12,10233,20,0.286737323789455,0.00191728494500309,0.285367169021415
"224",1963,12,1982,12,10233,20,0.214346410997695,0.000102281757259325,0.214266044748014
"225",1964,12,1983,12,10233,20,0.209425197603561,0.0000346072013167305,0.209397837075347
"226",1994,12,2013,12,10239,20,0.139168208299583,0.105009301343223,0.0381667731381192
"227",1995,12,2014,12,10239,20,0.1434086736779,0.119541263091301,0.0271079263412141
"228",1996,12,2015,12,10239,20,0.143972469261248,0.114046593678915,0.0337781596287328
"229",1997,12,2016,12,10239,20,0.148439296515611,0.126588519230045,0.0250177353591734
"230",1960,12,1979,12,10241,20,0.428018536454488,0.410871789971354,0.0291052884435807
"231",1994,12,2013,12,10252,20,0.26711588036676,0.234035878504695,0.0431874038662362
"232",1995,12,2014,12,10252,20,0.263161832688474,0.231294500422371,0.0414558400891018
"233",1996,12,2015,12,10252,20,0.249032122852124,0.219599548163331,0.0377147073909598
"234",1997,12,2016,12,10252,20,0.268016512904102,0.205810179518503,0.0783267825667741
"235",1987,9,2006,9,10257,20,0.147186091972379,0.0000300339454534595,0.147160477836689
"236",1988,9,2007,9,10257,20,0.225085198697252,0.000703110083187575,0.224539964927484
"237",1989,9,2008,9,10257,20,0.217838025152744,0.0121610976958699,0.208208977169388
"238",1990,9,2009,9,10257,20,0.0718187525174396,0.0150077132676233,0.0576766336295707
"239",1991,9,2010,9,10257,20,0.0648553411880424,0.0177506702671369,0.047955920655824
"240",1992,9,2011,9,10257,20,0.0348605228556239,0.022900683693966,0.0122401468940461
"241",1993,9,2012,9,10257,20,0.086401948529249,0.0462674716290984,0.0420814806104029
"242",1994,9,2013,9,10257,20,0.0610809671247052,0.049645964646442,0.0120323606286462
"243",1995,9,2014,9,10257,20,0.0665527590090811,0.0589663658841728,0.00806176617909759
"244",1996,9,2015,9,10257,20,0.0924317528290305,0.0807451831648506,0.0127130904838932
"245",1997,9,2016,9,10257,20,0.168187955854296,0.0757752467155361,0.0999894331009295
"246",1988,1,2007,1,10259,20,0.147656380893106,0.00423506694589334,0.144031296128621
"247",1989,1,2008,1,10259,20,0.144942994331545,0.000722320719700063,0.144324922493731
"248",1990,1,2009,1,10259,20,0.14556369726707,0.000620507887447368,0.145033183613996
"249",1991,1,2010,1,10259,20,0.147381541883227,0.000993839737390759,0.14653333279482
"250",1992,1,2011,1,10259,20,0.32500438261178,0.0013864660001252,0.324067224800596
"251",1993,1,2012,1,10259,20,0.297935947492867,0.00188784650866742,0.296608051458588
"252",1994,1,2013,1,10259,20,0.289490502015954,0.00152214185564939,0.288407357069978
"253",1995,1,2014,1,10259,20,0.302811895137919,0.00211432970272671,0.301334686312925
"254",1996,1,2015,1,10259,20,0.306747997805297,0.000228009351386618,0.306589893816742
"255",1997,1,2016,1,10259,20,0.309704803870467,0.000228212133133585,0.30954723417195
"256",1994,12,2013,12,10297,20,0.189261909140076,0.157858928233193,0.0372894541777895
"257",1995,12,2014,12,10297,20,0.190849059246416,0.154349578240164,0.043161429435931
"258",1987,6,2006,6,10299,20,0.533409252361104,0.0342666578205534,0.516853434317692
"259",1988,6,2007,6,10299,20,0.506079444706411,0.0399300940609423,0.485536884097541
"260",1989,6,2008,6,10299,20,0.544606498637122,0.101596837685621,0.493107860184132
"261",1990,6,2009,6,10299,20,0.558448876268619,0.117062362742311,0.499906782654784
"262",1991,6,2010,6,10299,20,0.598600259654804,0.112319852464869,0.54781038929418
"263",1992,6,2011,6,10299,20,0.581198247800103,0.0820345322367732,0.543771779105835
"264",1993,6,2012,6,10299,20,0.526473724709969,0.0529821739506022,0.499981666379602
"265",1994,6,2013,6,10299,20,0.493897203021174,0.0333401474748045,0.476441691814614
"266",1995,6,2014,6,10299,20,0.506732697311815,0.0267638792598361,0.493167904297422
"267",1996,6,2015,6,10299,20,0.450176030518075,0.00860741491626006,0.445402378679801
"268",1987,12,2006,12,10302,20,0.0842570302689144,0.0359870891190251,0.0500718824458246
"269",1988,12,2007,12,10302,20,0.0707245382335978,0.0372074973772457,0.0348123201676871
"270",1989,12,2008,12,10302,20,0.0545529060780107,0.0213723359194966,0.0339052035583828
"271",1990,12,2009,12,10302,20,0.0612660222794009,0.0207418966376589,0.0413824766959804
"272",1991,12,2010,12,10302,20,0.0650904270409812,0.0238366862848051,0.0422611054692968
"273",1992,12,2011,12,10302,20,0.0638571580725799,0.0243263944383932,0.0405163811020925
"274",1994,12,2013,12,10308,20,0.133808168264285,0.0743567643977458,0.0642271250735799
"275",1995,12,2014,12,10308,20,0.164418668798168,0.133899863601468,0.0352370400535963
"276",1996,12,2015,12,10308,20,0.197892300276349,0.174990467992445,0.0277594759762061
"277",1997,12,2016,12,10308,20,0.204752125482002,0.184443061904347,0.024902079338663
"278",1987,12,2006,12,10318,20,0.175935797811006,0.168442993295027,0.00901057228255352
"279",1988,12,2007,12,10318,20,0.229420689581752,0.22936676135719,0.0000699791053083868
"280",1989,12,2008,12,10318,20,0.22209578261819,0.221669784960664,0.00054732252364679
"281",1990,12,2009,12,10318,20,0.210413823165844,0.210078700398839,0.00042424829812085
"282",1991,12,2010,12,10318,20,0.179136685717834,0.178224907019155,0.00110952340423382
"283",1992,12,2011,12,10318,20,0.244904828843746,0.208698237677896,0.0457557317446136
"284",1993,12,2012,12,10318,20,0.100232748060242,0.0643755569058365,0.0383243420146481
"285",1994,12,2013,12,10318,20,0.116687004848478,0.0728566699577152,0.0472746051991374
"286",1995,12,2014,12,10318,20,0.166397602521312,0.0677389805309304,0.105827252164387
"287",1996,12,2015,12,10318,20,0.143841982010575,0.0455633354700758,0.10297031766786
"288",1997,12,2016,12,10318,20,0.181297971791909,0.034520539244604,0.152025432454529
"289",1960,9,1979,9,10321,20,0.219868764416835,0.0887148783888592,0.143921899872673
"290",1988,3,2007,3,10353,20,0.180353395950319,0.0896592004265115,0.0996266404475106
"291",1989,3,2008,3,10353,20,0.174515733714177,0.0877560911898287,0.0951057515281275
"292",1990,3,2009,3,10353,20,0.299779807761593,0.0903092613095088,0.23026566891691
"293",1991,3,2010,3,10353,20,0.255054316213731,0.0287801903821851,0.232979314868574
"294",1960,12,1979,12,10364,20,0.137944733456773,0.073123560510108,0.0699350746064273
